oriented_acc,mean_ang_err_oriented,mean_ang_err_unsigned,rms_ang_oriented,pct_good_5deg,pct_good_10deg,n_points,model,n_points_req,method,time_sec
0.997,26.563919067382812,26.465288162231445,33.98503494262695,0.1039,0.2693,10000,dragon,10000,wnnc_cuda,0.3886079788208008
0.997,26.22478675842285,26.122501373291016,33.6237907409668,0.1046,0.2725,10000,dragon,10000,ours_torch,4.538865566253662
0.1137,148.23492640344614,18.24439539476701,154.98117511053724,0.1796,0.4275,10000,dragon,10000,pca_mst,0.38269567489624023
0.99905,7.939648628234863,7.887171745300293,12.188237190246582,0.495925,0.7652,40000,dragon,40000,wnnc_cuda,0.5063438415527344
0.999075,7.839371681213379,7.789533615112305,12.039098739624023,0.498175,0.769225,40000,dragon,40000,ours_torch,74.61355829238892
0.966475,15.407739077168602,10.69007957650914,32.846334672902096,0.335975,0.6491,40000,dragon,40000,pca_mst,1.726470947265625
0.99944,4.370162010192871,4.334803581237793,7.098270416259766,0.7351,0.92461,100000,dragon,100000,wnnc_cuda,1.2993760108947754
0.99624,7.377707407700186,6.951761547232274,13.4612106806209,0.53648,0.8033,100000,dragon,100000,pca_mst,6.180105209350586
0.9994,24.993494033813477,24.982059478759766,31.44209861755371,0.0803,0.245,10000,armadillo,10000,wnnc_cuda,0.2645277976989746
0.9994,24.6661376953125,24.654699325561523,31.068008422851562,0.0823,0.25,10000,armadillo,10000,ours_torch,4.528676748275757
0.9679,21.02327820449985,17.33470547083299,33.8417083890924,0.129,0.3397,10000,armadillo,10000,pca_mst,0.37627673149108887
1.0,9.290159225463867,9.290159225463867,12.331798553466797,0.3458,0.672475,40000,armadillo,40000,wnnc_cuda,0.46535682678222656
1.0,9.194594383239746,9.194594383239746,12.199953079223633,0.3502,0.678175,40000,armadillo,40000,ours_torch,74.61785864830017
0.99795,12.61428350689621,12.416930193442251,16.663225309628295,0.215325,0.488275,40000,armadillo,40000,pca_mst,1.7403438091278076
1.0,5.559451103210449,5.559451103210449,7.188018321990967,0.56916,0.86808,100000,armadillo,100000,wnnc_cuda,1.2061567306518555
0.99988,9.080889802634474,9.075656673003154,11.468084210709568,0.32781,0.64613,100000,armadillo,100000,pca_mst,5.120866775512695
