oriented_acc,mean_ang_err_oriented,mean_ang_err_unsigned,rms_ang_oriented,pct_good_5deg,pct_good_10deg,n_points,model,variant,method,width_config,time_sec
1.0,1.6574492454528809,1.6574492454528809,3.964470386505127,0.934025,0.97365,40000,sphere,clean,wnnc_cuda,l0,0.4678003787994385
1.0,1.6199742555618286,1.6199742555618286,3.858839988708496,0.93605,0.974425,40000,sphere,clean,ours_torch,l0,74.55182790756226
1.0,0.3704474731611901,0.3704474731611901,0.4143244505737442,1.0,1.0,40000,sphere,clean,pca_mst,-,1.4783570766448975
0.978275,21.545978546142578,20.41126823425293,30.50177574157715,0.107025,0.322625,40000,sphere,sigmap0025,wnnc_cuda,l2,0.39901089668273926
0.98205,20.536361694335938,19.599796295166016,29.006624221801758,0.116775,0.3401,40000,sphere,sigmap0025,ours_torch,l2,74.55331063270569
1.0,4.805498696728529,4.805498696728529,5.502427601321876,0.5851,0.957075,40000,sphere,sigmap0025,pca_mst,-,1.391721487045288
0.87435,40.248046875,31.77609634399414,55.59796142578125,0.05625,0.184875,40000,sphere,sigmap005,wnnc_cuda,l3,0.4574432373046875
0.855625,42.46391296386719,32.53433609008789,58.48393249511719,0.05685,0.180875,40000,sphere,sigmap005,ours_torch,l3,74.55222177505493
0.99995,11.034975739808317,11.034125234290698,13.01749481274426,0.1706,0.507425,40000,sphere,sigmap005,pca_mst,-,1.768761396408081
0.5294,84.77259063720703,31.032093048095703,105.51799774169922,0.048,0.158875,40000,sphere,sigmap01,wnnc_cuda,l4,0.5323805809020996
0.531675,84.45633697509766,29.658193588256836,105.99320220947266,0.056775,0.182375,40000,sphere,sigmap01,ours_torch,l4,74.55130767822266
0.987225,26.41833448962902,26.13020030521438,32.69458590335061,0.043425,0.163,40000,sphere,sigmap01,pca_mst,-,1.6757464408874512
1.0,2.876002550125122,2.876002550125122,5.017219543457031,0.866825,0.95085,40000,torus,clean,wnnc_cuda,l0,0.40898990631103516
1.0,2.618860960006714,2.618860960006714,4.577409744262695,0.885825,0.95875,40000,torus,clean,ours_torch,l0,74.55141878128052
1.0,0.991698498853803,0.991698498853803,1.1388750579579632,1.0,1.0,40000,torus,clean,pca_mst,-,2.6229019165039062
0.9993,10.022079467773438,9.995118141174316,12.941961288452148,0.24905,0.624,40000,torus,sigmap0025,wnnc_cuda,l2,0.4398336410522461
0.999475,9.337852478027344,9.320141792297363,11.9495849609375,0.27425,0.660975,40000,torus,sigmap0025,ours_torch,l2,74.55208134651184
