model,variant,WNNC (official CUDA),Ours (pure PyTorch),PCA+MST (Hoppe'92)
sphere,clean,1.6574492454528809,1.6199742555618286,0.3704474731611901
sphere,sigmap0025,21.545978546142575,20.536361694335938,4.805498696728529
sphere,sigmap005,40.248046875,42.46391296386719,11.034975739808315
sphere,sigmap01,84.77259063720703,84.45633697509766,26.41833448962902
torus,clean,2.876002550125122,2.618860960006714,0.991698498853803
torus,sigmap0025,10.022079467773438,9.337852478027344,5.247541015135435
torus,sigmap005,12.26332187652588,13.79316520690918,11.803325344191991
torus,sigmap01,33.19068908691406,31.474571228027344,28.481161858756806
bunny,clean,7.016905307769775,6.917978286743164,6.038774231022524
bunny,sigmap0025,15.35215663909912,16.356985092163086,9.294096174082688
bunny,sigmap005,21.148269653320312,20.82503700256348,17.006519959224978
bunny,sigmap01,38.09697341918945,46.715911865234375,36.78749074504622
armadillo,clean,9.290159225463867,9.194594383239746,12.614283506896172
armadillo,sigmap0025,18.69831657409668,19.59939384460449,162.1405723023632
armadillo,sigmap005,26.806943893432617,26.29003524780273,25.778821558353485
armadillo,sigmap01,38.95063018798828,44.62405014038086,48.226649394265166
dragon,clean,7.939648628234863,7.839371681213379,15.407739077168555
dragon,sigmap0025,17.07200050354004,16.58262825012207,18.92133275357575
dragon,sigmap005,24.090898513793945,23.795785903930664,27.353576197134988
dragon,sigmap01,37.33012390136719,36.96584701538086,48.99378475160402
