model,variant,WNNC (official CUDA),Ours (pure PyTorch),PCA+MST (Hoppe'92)
sphere,clean,1.682335770868144,1.6844249554918005,1.6824155993084453
sphere,sigmap0025,2.020088162822738,2.0218360725486955,1.9026533501491285
sphere,sigmap005,3.0539627498109168,3.126020672979151,2.3374813804183883
sphere,sigmap01,7.409691501593473,7.393120093190508,3.867555866508993
torus,clean,1.7609887495713776,1.7605400216880631,1.7613941370775228
torus,sigmap0025,2.0188778705948134,2.016557021547961,1.9937470404488504
torus,sigmap005,2.291817116574279,2.3161872639934424,2.3334107093966336
torus,sigmap01,4.285023484454733,4.110221561222075,3.940496909554041
bunny,clean,1.6146376710765744,1.6110368971651552,1.6228098133223932
bunny,sigmap0025,1.8718127922365464,1.8809882208926607,1.839275117549306
bunny,sigmap005,2.324695929056638,2.319256503328761,2.2997228004124914
bunny,sigmap01,4.480211770229767,5.619402742148371,4.117621171918633
armadillo,clean,1.4913155088616863,1.4913913445233964,1.52646417622748
armadillo,sigmap0025,1.8173886356578652,1.8200616502060531,1.8011986363044803
armadillo,sigmap005,2.3327531737240577,2.3270921257341746,2.363511076608575
armadillo,sigmap01,4.1874509785507215,4.808949164322789,4.370019002769609
dragon,clean,1.8092280732518036,1.8122486615139164,1.8418151609001403
dragon,sigmap0025,2.15804660208726,2.151641443304438,2.140377194658437
dragon,sigmap005,2.651853677576967,2.648624253365577,2.647734621711286
dragon,sigmap01,4.107805162579481,4.090996738035703,4.478948292725489
