model,variant,WNNC (official CUDA),Ours (pure PyTorch),PCA+MST (Hoppe'92)
sphere,clean,0.999808264283834,0.9998105629830208,0.9998163828082794
sphere,sigmap0025,0.9570860212743336,0.9580120130923568,0.9724951874642463
sphere,sigmap005,0.862438927964426,0.8545061700698133,0.927552592841318
sphere,sigmap01,0.7988409317133256,0.8092683531859914,0.7823065334183571
torus,clean,0.999339422789882,0.9993340393395912,0.9993159139703424
torus,sigmap0025,0.958341028611006,0.9589630183562272,0.9614869449149468
torus,sigmap005,0.9413701907429792,0.9399580830386,0.9326897681225096
torus,sigmap01,0.8417379055401182,0.8522362405867798,0.7696941338692851
bunny,clean,0.9915741049361584,0.9916664013046276,0.9908053483853276
bunny,sigmap0025,0.955355796584746,0.9547148399493802,0.9600846104233484
bunny,sigmap005,0.9221057467361562,0.9230266507124656,0.917505893585816
bunny,sigmap01,0.7996399228896693,0.7809614779130916,0.7320637837506268
armadillo,clean,0.9779552918403174,0.977933889095938,0.9720753055633092
armadillo,sigmap0025,0.9137692574212152,0.913445060981966,0.9108316713190104
armadillo,sigmap005,0.8745774741544372,0.8747091620088657,0.8558168496127634
armadillo,sigmap01,0.7815982834947226,0.7680671554177756,0.6575580225751566
dragon,clean,0.9806300168482944,0.9803503588390828,0.967998814933152
dragon,sigmap0025,0.9247271154473696,0.9238520043213744,0.9199000230119072
dragon,sigmap005,0.8875496121648412,0.8876845519961718,0.8712089834173674
dragon,sigmap01,0.8034361867644222,0.8046723061295556,0.7013702771257403
